epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.763,1.90989,2.17943,1.30012,0.61841,0.80845,0.76389,0.32928,1.78609,4.49897,1.33957,0.00028,0.00028,0.00028
2,221.875,1.72506,1.25653,1.17397,0.20477,0.8,0.19387,0.08262,1.81002,12.5242,1.44717,0.000574258,0.000574258,0.000574258
3,318.211,1.71336,1.20345,1.23293,0.56926,0.80411,0.58537,0.24047,1.91963,3.47816,1.65562,0.000862576,0.000862576,0.000862576
4,423.607,1.68421,1.13671,1.22311,0.67258,0.52958,0.55845,0.21729,2.1278,1.75903,1.61434,0.00114495,0.00114495,0.00114495
5,523.404,1.78537,1.10799,1.26582,0.06839,0.25915,0.04643,0.0168,2.69156,4.06554,1.93868,0.00142139,0.00142139,0.00142139
6,607.028,1.78683,1.14163,1.24988,0.16058,0.30986,0.08875,0.0334,2.35162,4.62281,1.89252,0.00169189,0.00169189,0.00169189
7,696.765,1.77889,1.25396,1.24283,0.16072,0.38592,0.10154,0.03555,2.31643,4.26761,1.81899,0.0018812,0.0018812,0.0018812
8,793.664,1.75247,1.14893,1.21765,0.26211,0.51831,0.18413,0.06582,2.14748,3.06075,1.64748,0.0018614,0.0018614,0.0018614
9,880.663,1.66699,1.12637,1.20025,0.59734,0.7493,0.54505,0.23082,1.92768,1.83595,1.5794,0.0018416,0.0018416,0.0018416
10,965.132,1.70485,1.06324,1.20193,0.08443,0.50704,0.0652,0.02473,2.20227,48.912,1.67143,0.0018218,0.0018218,0.0018218
11,1049.45,1.7666,1.06232,1.22304,0.285,0.72113,0.25143,0.10495,1.90736,8.87116,1.52089,0.001802,0.001802,0.001802
12,1138.8,1.67729,1.00919,1.23284,0.63656,0.72394,0.6735,0.27186,2.02001,1.70375,1.5953,0.0017822,0.0017822,0.0017822
13,1234.05,1.66178,0.97683,1.227,0.74376,0.73587,0.73585,0.30957,1.988,1.41405,1.61257,0.0017624,0.0017624,0.0017624
14,1321.2,1.62253,0.9298,1.15664,0.66781,0.66255,0.60376,0.2293,2.19723,1.34582,1.7016,0.0017426,0.0017426,0.0017426
15,1408.16,1.60541,0.93965,1.19265,0.6995,0.74753,0.70084,0.30289,1.90187,1.21146,1.48613,0.0017228,0.0017228,0.0017228
16,1501.18,1.53986,0.93885,1.16286,0.69088,0.78873,0.73501,0.31657,1.89934,1.22114,1.51644,0.001703,0.001703,0.001703
17,1596.5,1.51973,0.90244,1.13167,0.80474,0.75775,0.80756,0.35532,1.84148,1.06162,1.44971,0.0016832,0.0016832,0.0016832
18,1712.68,1.53155,0.91865,1.15694,0.6687,0.85286,0.70386,0.307,1.84891,1.1818,1.45109,0.0016634,0.0016634,0.0016634
19,1826.44,1.51545,0.9336,1.15339,0.68731,0.81408,0.73081,0.3149,1.80478,1.22431,1.41716,0.0016436,0.0016436,0.0016436
20,1930.12,1.495,0.88892,1.16647,0.68923,0.8,0.70049,0.29363,1.87727,1.11724,1.44495,0.0016238,0.0016238,0.0016238
